Coercivity,Crystal_Structure,Curie,Curie(Tc),Curie_Weiss,Curie_Weiss(θp),DOI,Experimental,Lattice_Parameters,Lattice_Structure,Magnetic_Moment,Magnetization,Material_Name,Neel,Neel(Tn),New_Column_Concatenated,Remanence,Space_Group,Susceptibility
,AuCu3,11,11,-46,-46,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,CeIn3,,,,,,
,AuCu3,,,-19,-19,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,PrIn3,,,,,,
,AuCu3,,,-29,-29,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,NdIn3,6.8-7,6.8-7,,,,
,AuCu3,16,16,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,no C-W behaviour,SmIn3,,,,,,
,AuCu3,4.5-10,4.5-10,10,10,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,EuIn3,,,,,,
,AuCu3,45-48,45-48,-85,-85,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,GdIn3,,,,,,
,AuCu3,,,-62,-62,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,TbIn3,36,36,,,,
,AuCu3,,,-35,-35,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,DyIn3,23,23,,,,
,AuCu3,11,11,-18,-18,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,HoIn3,,,,,,
,AuCu3,,,-10,-10,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,ErIn3,6,6,,,,
,AuCu3,,,-6,-6,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",cub,,,TmIn3,,,,,,
,,327 K,327 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,35.7 μB/f.u.,Y2Fe17,,,,,,
,,470 K,470 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,36 μB/f.u.,Y2Fe17C0.6,,,,,,
,,502 K,502 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,35.5 μB/f.u.,Y2Fe17C1.0,,,,,,
,,550 K,550 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,35.5 μB/f.u.,Y2Fe17C1.5,,,,,,
,,350 K,350 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,Nd2Fe17,,,,,,
,,552 K,552 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,~34 μB/f.u.,Sm2Fe17C1.0,,,,,,
,,478 K,478 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,23.1 μB/f.u.,Gd2Fe17,,,,,,
,,582 K,582 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,23.6 μB/f.u.,Gd2Fe17C1.0,,,,,,
,,410 K,410 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,18.6 μB/f.u.,Tb2Fe17,,,,,,
,,537 K,537 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,19.0 μB/f.u.,Tb2Fe17C1.0,,,,,,
,,540 K,540 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,19.0 μB/f.u.,Tb2Fe17C1.5,,,,,,
,,370 K,370 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,16.7 μB/f.u.,Dy2Fe17,,,,,,
,,515 K,515 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,17.0 μB/f.u.,Dy2Fe17C1.0,,,,,,
,,504 K,504 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,17.4 μB/f.u.,Ho2Fe17C1.0,,,,,,
,,310 K,310 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,18.6 μB/f.u.,Er2Fe17,,,,,,
,,488 K,488 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,18.8 μB/f.u.,Er2Fe17C1.0,100 K,100 K,,,,
,,306 K,306 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,23.0 μB/f.u.,Tm2Fe17,80 K,80 K,,,,
,,460 K,460 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,24.0 μB/f.u.,Tm2Fe17C0.6,180 K,180 K,,,,
,,550 K,550 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,24.0 μB/f.u.,Tm2Fe17C1.6,220 K,220 K,,,,
,,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,35.2 μB/f.u.,Lu2Fe17,270 K,270 K,,,,
,,1010 K,1010 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,19.8 µB/F.U.,Y2Co14B,,,,,,
,,955 K,955 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,19.3 µB/F.U.,La2Co14B,,,,,,
,,990 K,990 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,24.8 µB/F.U.,Pr2Co14B,,,,,,
,,997 K,997 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,26.3 µB/F.U.,Nd2Co14B,,,,,,
,,1029 K,1029 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,18.10 µB/F.U.,Sm2Co14B,,,,,,
,,1053 K,1053 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,5.36 µB/F.U.,Gd2Co14B,,,,,,
,,1033 K,1033 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,Tb2Co14B,,,,,,
,"Cubic (C15, Laves phase)",,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,CeAl2,3.9 K,3.9 K,,,,
,"Cubic (C15, Laves phase)",30 K,30 K,,,"hartmann et al. (1984, 1986), kalvius et al. (1984)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,PrAl2,,,,,,
,"Cubic (C15, Laves phase)",78 K,78 K,,,"hartmann et al. (1984, 1986)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NdAl2,,,,,,
,"Cubic (C15, Laves phase)",160 K,160 K,,,"hartmann et al. (1984, 1986), kalvius et al. (1984), chappert et al. (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,GdAl2,,,,,,
,"Cubic (C15, Laves phase)",67 K,67 K,,,"chappert et al. (1981, 1986b), hartmann et al. (1984, 1986); gradwohl et al. (1986); kalvius et al. (1984), asch et al. (1986)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,DyAl2,,,,,,
,"Cubic (C15, Laves phase)",32 K,32 K,,,"chappert et al. (1981), hartmann et al. (1984, 1986); dalmas de réotier et al. (1990b)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,HoAl2,,,,,,
,"Cubic (C15, Laves phase)",14 K,14 K,,,"hartmann et al. (1984, 1986), dalmas de réotier et al. (1990b)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,ErAl2,,,,,,
,"Cubic (C15, Laves phase)",6 K,6 K,,,"hartmann et al. (1984, 1986)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TmAl2,,,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UN,"52, 55 K","52, 55 K",,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,PuN,13 K,13 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UP,"122, 123 K","122, 123 K",,,,
,Th3P4,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,Pu3S4,10 K,10 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UAs,128 K,128 K,,,,
,rhombic,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UGa,27 K,27 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,USb,"213, 241 K","213, 241 K",,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UGa3,70 K,70 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UBi,"285, 290 K","285, 290 K",,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UIn3,100 K,100 K,,,,
,Mn2O3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,U2N3,"94, 96 K","94, 96 K",,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UTl3,"80, 90 K","80, 90 K",,,,
,Cu2Sb,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UP2,"203, 206 K","203, 206 K",,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UPb3,32 K,32 K,,,,
,Cu2Sb,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UAs2,283 K,283 K,,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UPd4,30 K,30 K,,,,
,Cu2Sb,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,USb2,206 K,206 K,,,,
,Cu2Sb,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UBi2,183 K,183 K,,,,
,AuBe5,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UCu5,"15, 16 K","15, 16 K",,,,
,MgCu2,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UMn2,260 K,260 K,,,,
,AlB2,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UHg2,70 K,70 K,,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpPd3,55 K,55 K,,,,
,US2,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,USe2,"11, 13 K","11, 13 K",,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpSn3,9.5 K,9.5 K,,,,
,Sb2S3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,U2Te3,106 K,106 K,,,,
,MgCu2,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpCo2,15 K,15 K,,,,
,PbFCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UOS,55 K,55 K,,,,
,MgCu2,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpIr2,7.5 K,7.5 K,,,,
,PbFCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UOSe,72 K,72 K,,,,
,CrB,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpPt,27 K,27 K,,,,
,PbFCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,UOTe,"160, 162 K","160, 162 K",,,,
,ThB4,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpB4,52.5 K,52.5 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpP,130 K,130 K,,,,
,NaZn13,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,PuBe13,11.5 K,11.5 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpAs,175 K,175 K,,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,PuPd3,24 K,24 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpSb,207 K,207 K,,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,PuRh3,6.2 K,6.2 K,,,,
,NaCl,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpS,20 K,20 K,,,,
,AuCu3,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,PuPt3,40 K,40 K,,,,
,Cu2Sb,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NpAs2,180 K,180 K,,,,
,,697 K,697 K,,,clark (1980),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TbFe2,,,,,,
,,635 K,635 K,,,clark (1980),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,DyFe2,,,,,,
,,606 K,606 K,,,clark (1980),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,HoFe2,,,,,,
,,590 K,590 K,,,clark (1980),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,ErFe2,,,,,,
,,560 K,560 K,,,clark (1980),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TmFe2,,,,,,
,,676 K,676 K,,,clark (1980),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,SmFe2,,,,,,
,,,,,,alekseevskii et al. (1985),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NdMo6Se8,(2.3?) K,(2.3?) K,,,,
,,,,,,maple et al. (1980a),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,GdMo6Se8,0.75 K,0.75 K,,,,
,,,,,,lynn et al. (1984),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,HoMo6Se8,0.53 K,0.53 K,,,,
,,,,,,lynn et al. (1978a),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,ErMo6Se8,1.1 K,1.1 K,,,,
,NaCl-type,,,,,schobinger-papamantellos et al. (1974),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,0.57 µB,CeS,8 K,8 K,,,,
,NaCl-type,,,,,ott et al. (1979),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,0.58 ± 0.05 µB,CeSe,5.4 K,5.4 K,,,,
,NaCl-type,,,,,ott et al. (1979),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,0.3 ± 0.1 µB,CeTe,2.2 K,2.2 K,,,,
,NaCl-type,,,,,hälg and furrer (1986),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,0.83 µB,CeP,8 K,8 K,,,,
,NaCl-type,,,,,hälg and furrer (1986),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,0.85 µB,CeAs,8 K,8 K,,,,
,NaCl-type,,,,,hälg and furrer (1986),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.06 µB,CeSb,16 K,16 K,,,,
,NaCl-type,,,,,hälg and furrer (1986),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.1 µB,CeBi,25 K,25 K,,,,
,NaCl-type,,,,,hulliger et al. (1975),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.24 µB (at 200 kOe),NdS,9.3 K,9.3 K,,,,
,NaCl-type,,,,,hulliger et al. (1975),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.34 µB (at 200 kOe),NdSe,10.5 K,10.5 K,,,,
,NaCl-type,,,,,hulliger et al. (1975),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.58 µB (at 200 kOe),NdTe,10.6 K,10.6 K,,,,
,NaCl-type,27 K,27 K,,,hulliger (1979),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,3.1 µB,NdN,,,,,,
,NaCl-type,,,,,hulliger (1979),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,1.83 µB,NdP,11 K,11 K,,,,
,NaCl-type,,,,,hulliger (1979),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.18 µB,NdAs,13 K,13 K,,,,
,NaCl-type,,,,,hulliger (1979),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.98 µB,NdSb,16 K,16 K,,,,
,NaCl-type,,,,,hulliger (1979),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,3.14 µB,NdBi,25 K,25 K,,,,
,,230 K,230 K,,,buschow et al. (1986),TRUE,"{'a': '9.605 Å', 'b': 'NA', 'c': '7.549 Å'}",,,"{'4.2 K': '19.5 µB/f.u.', '77 K': 'NA'}",NdFe12B6,,,,,,
,,154 K,154 K,,,"mittag et al. (1989), jurczyk et al. (1987a), niihara and yajima (1972)",TRUE,"{'a': '9.496 Å', 'b': 'NA', 'c': '7.442 Å'}",,,"{'4.2 K': '5.4 µB/f.u.', '77 K': '4.5 µB/f.u.'}",CeCo12B6,,,,,,
,,177 K,177 K,,,"mittag et al. (1989), jurczyk et al. (1987a)",TRUE,"{'a': '9.493 Å', 'b': 'NA', 'c': '7.475 Å'}",,,"{'4.2 K': '8.4 µB/f.u.', '77 K': '5.6 µB/f.u.'}",PrCo12B6,,,,,,
,,174 K,174 K,,,"mittag et al. (1989), jurczyk et al. (1987a)",TRUE,"{'a': '9.491 Å', 'b': 'NA', 'c': '7.475 Å'}",,,"{'4.2 K': '8.8 µB/f.u.', '77 K': '6.0 µB/f.u.'}",NdCo12B6,,,,,,
,,172 K,172 K,,,"mittag et al. (1989), jurczyk et al. (1987a), el masry et al. (1983)",TRUE,"{'a': '9.470 Å', 'b': 'NA', 'c': '7.458 Å'}",,,"{'4.2 K': '6.8 µB/f.u.', '77 K': '5.5 µB/f.u.'}",SmCo12B6,,,,,,
,,169 K,169 K,,,"mittag et al. (1989), jurczyk et al. (1987a), rosenberg et al. (1988), chaban and kuz'ma (1977), rosenberg et al. (1989)",TRUE,"{'a': '9.454 Å', 'b': 'NA', 'c': '7.457 Å'}",,,"{'4.2 K': '2.1 µB/f.u.', '77 K': '1.5 µB/f.u.'}",GdCo12B6,,,,,,
,,165 K,165 K,,,"mittag et al. (1989), jurczyk et al. (1987a)",TRUE,"{'a': '9.445 Å', 'b': 'NA', 'c': '7.443 Å'}",,,"{'4.2 K': '5.9 µB/f.u.', '77 K': '1.9 µB/f.u.'}",DyCo12B6,,,,,,
,,151 K,151 K,,,"jurczyk et al. (1987a), rosenberg et al. (1988), rosenberg et al. (1989)",TRUE,"{'a': '9.418 Å', 'b': 'NA', 'c': '7.442 Å'}",,,"{'4.2 K': '6.5 µB/f.u.', '77 K': '5.5 µB/f.u.'}",YCo12B6,,,,,,
,,,,,,"andreev (1990), andreev et al. (1986b), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,2.4 μB/f.u.,Y2.4Tb0.6Co,12 K,12 K,,,,
,,,,,,"andreev (1990), andreev et al. (1986b), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,6.6 μB/f.u.,Y1.8Tb1.2Co,26 K,26 K,,,,
,,,,,,"andreev (1990), andreev et al. (1986b), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,10.3 μB/f.u.,Y1.5Tb1.5Co,39 K,39 K,,,,
,,,,,,"andreev (1990), andreev et al. (1986b), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,12.4 μB/f.u.,Y1.2Tb1.8Co,48 K,48 K,,,,
,,61 K,61 K,,,"andreev (1990), andreev et al. (1986b), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,14.5 μB/f.u.,Y0.9Tb2.1Co,,,,,,
,,72 K,72 K,,,"andreev (1990), andreev et al. (1986b), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,16.6 μB/f.u.,Y0.6Tb2.4Co,,,,,,
,,82 K,82 K,,,"andreev (1990), andreev et al. (1986b), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,20.7 μB/f.u.,Tb3Co,,,,,,
,,,,,,"andreev (1990), baranov (1981)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,20.7 μB/f.u.,Gd3Co,131 K,131 K,,,,
,,,,,,"andreev (1990), baranov (1981), baranov and deryagin (1980)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,19.2 μB/f.u.,Dy3Co,43 K,43 K,,,,
,,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,CeZn,30 K,30 K,,,,
,,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,PrZn,52 K,52 K,,,,
,,,,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,NdZn,70 K,70 K,,,,
,,269 K,269 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,GdZn,,,,,,
,,200 K,200 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TbZn,,,,,,
,,139 K,139 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,DyZn,,,,,,
,,75 K,75 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,HoZn,,,,,,
,,20 K,20 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,ErZn,,,,,,
,,8.12 K,8.12 K,,,Handbook of Magnetic Materials,TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TmZn,,,,,,
,,,,35,35,gladyshevskii et al. (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,GdFeSi3,,,,,,
,,,,47,47,gladyshevskii et al. (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TbFeSi3,,,,,,
,,,,82,82,gladyshevskii et al. (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,DyFeSi3,,,,,,
,,,,49,49,gladyshevskii et al. (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,HoFeSi3,,,,,,
,,,,65,65,gladyshevskii et al. (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,ErFeSi3,,,,,,
,,,,74,74,gladyshevskii et al. (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TmFeSi3,,,,,,
,,,,-22,-22,yarovetz (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TbCoSi3,,,,,,
,,,,12,12,yarovetz (1978),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,DyCoSi3,,,,,,
,,,,-5,-5,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,GdNiSi3,,,,,,
,,,,-27,-27,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TbNiSi3,,,,,,
,,,,-52,-52,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,DyNiSi3,,,,,,
,,,,-58,-58,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,HoNiSi3,,,,,,
,,,,5,5,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,ErNiSi3,,,,,,
,,,,-10,-10,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,TmNiSi3,,,,,,
,,,,-117,-117,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,YbNiSi3,,,,,,
,,,,78,78,"yarovetz (1978), gladyshevskii et al. (1977)",TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,YNiSi3,,,,,,
,,,,-106,-106,haen et al. (1985),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,CeRhSi3,,,,,,
,,,,-3,-3,haen et al. (1985),TRUE,"{'a': 'NA', 'b': 'NA', 'c': 'NA'}",,,,CeOsSi3,,,,,,
